variant,segment,n_sys,n_ref,n_match,precision,recall,f1
llm_corr,Діалог_з_Америкою_seg002,15,17,3,0.2,0.17647058823529413,0.18750000000000003
llm_corr,"Знаємо,_що_росіяни_seg001",21,23,10,0.47619047619047616,0.43478260869565216,0.4545454545454545
llm_corr,"Знаємо,_що_росіяни_seg002",14,14,8,0.5714285714285714,0.5714285714285714,0.5714285714285714
llm_corr,Командна_ланка_seg001,20,23,10,0.5,0.43478260869565216,0.46511627906976744
llm_corr,Наша_стратегія_seg001,23,23,10,0.43478260869565216,0.43478260869565216,0.43478260869565216
llm_corr,Наша_стратегія_seg002,11,13,3,0.2727272727272727,0.23076923076923078,0.24999999999999994
llm_corr,Отримуємо_хороші_seg001,20,24,8,0.4,0.3333333333333333,0.3636363636363636
llm_corr,Поведінка_seg001,12,12,11,0.9166666666666666,0.9166666666666666,0.9166666666666666
llm_corr,Поведінка_seg002,7,9,6,0.8571428571428571,0.6666666666666666,0.75
placeholder,В_Еміратах_сьогодні_seg001,18,27,15,0.8333333333333334,0.5555555555555556,0.6666666666666667
placeholder,В_Еміратах_сьогодні_seg002,3,12,1,0.3333333333333333,0.08333333333333333,0.13333333333333333
placeholder,Діалог_з_Америкою_seg001,14,16,11,0.7857142857142857,0.6875,0.7333333333333334
placeholder,Діалог_з_Америкою_seg002,13,17,3,0.23076923076923078,0.17647058823529413,0.20000000000000004
placeholder,"Знаємо,_що_росіяни_seg001",14,23,9,0.6428571428571429,0.391304347826087,0.4864864864864865
placeholder,"Знаємо,_що_росіяни_seg002",15,14,8,0.5333333333333333,0.5714285714285714,0.5517241379310344
placeholder,Командна_ланка_seg001,20,23,13,0.65,0.5652173913043478,0.6046511627906976
placeholder,Наша_стратегія_seg001,19,23,11,0.5789473684210527,0.4782608695652174,0.5238095238095238
placeholder,Наша_стратегія_seg002,10,13,3,0.3,0.23076923076923078,0.2608695652173913
placeholder,Отримуємо_хороші_seg001,18,24,9,0.5,0.375,0.42857142857142855
placeholder,Поведінка_seg001,14,12,11,0.7857142857142857,0.9166666666666666,0.8461538461538461
placeholder,Поведінка_seg002,7,9,6,0.8571428571428571,0.6666666666666666,0.75
placeholder_ext,В_Еміратах_сьогодні_seg001,19,27,14,0.7368421052631579,0.5185185185185185,0.6086956521739131
placeholder_ext,В_Еміратах_сьогодні_seg002,3,12,1,0.3333333333333333,0.08333333333333333,0.13333333333333333
placeholder_ext,Діалог_з_Америкою_seg001,13,16,12,0.9230769230769231,0.75,0.8275862068965517
placeholder_ext,Діалог_з_Америкою_seg002,17,17,6,0.35294117647058826,0.35294117647058826,0.35294117647058826
placeholder_ext,"Знаємо,_що_росіяни_seg001",23,23,10,0.43478260869565216,0.43478260869565216,0.43478260869565216
placeholder_ext,"Знаємо,_що_росіяни_seg002",15,14,11,0.7333333333333333,0.7857142857142857,0.7586206896551724
placeholder_ext,Командна_ланка_seg001,25,23,14,0.56,0.6086956521739131,0.5833333333333334
placeholder_ext,Наша_стратегія_seg001,21,23,18,0.8571428571428571,0.782608695652174,0.8181818181818182
placeholder_ext,Наша_стратегія_seg002,8,13,4,0.5,0.3076923076923077,0.380952380952381
placeholder_ext,Отримуємо_хороші_seg001,21,24,14,0.6666666666666666,0.5833333333333334,0.6222222222222222
placeholder_ext,Поведінка_seg001,14,12,12,0.8571428571428571,1.0,0.923076923076923
placeholder_ext,Поведінка_seg002,7,9,7,1.0,0.7777777777777778,0.8750000000000001
claude_haiku,В_Еміратах_сьогодні_seg001,27,27,21,0.7777777777777778,0.7777777777777778,0.7777777777777778
claude_haiku,В_Еміратах_сьогодні_seg002,12,12,11,0.9166666666666666,0.9166666666666666,0.9166666666666666
claude_haiku,Діалог_з_Америкою_seg001,14,16,12,0.8571428571428571,0.75,0.7999999999999999
claude_haiku,Діалог_з_Америкою_seg002,18,17,15,0.8333333333333334,0.8823529411764706,0.8571428571428571
claude_haiku,"Знаємо,_що_росіяни_seg001",23,23,18,0.782608695652174,0.782608695652174,0.782608695652174
claude_haiku,"Знаємо,_що_росіяни_seg002",16,14,13,0.8125,0.9285714285714286,0.8666666666666666
claude_haiku,Командна_ланка_seg001,21,23,21,1.0,0.9130434782608695,0.9545454545454545
claude_haiku,Наша_стратегія_seg001,24,23,17,0.7083333333333334,0.7391304347826086,0.723404255319149
claude_haiku,Наша_стратегія_seg002,11,13,9,0.8181818181818182,0.6923076923076923,0.7500000000000001
claude_haiku,Отримуємо_хороші_seg001,20,24,18,0.9,0.75,0.8181818181818182
claude_haiku,Поведінка_seg001,14,12,12,0.8571428571428571,1.0,0.923076923076923
claude_haiku,Поведінка_seg002,7,9,7,1.0,0.7777777777777778,0.8750000000000001
claude,В_Еміратах_сьогодні_seg001,27,27,23,0.8518518518518519,0.8518518518518519,0.8518518518518519
claude,В_Еміратах_сьогодні_seg002,12,12,12,1.0,1.0,1.0
claude,Діалог_з_Америкою_seg001,16,16,14,0.875,0.875,0.875
claude,Діалог_з_Америкою_seg002,19,17,11,0.5789473684210527,0.6470588235294118,0.6111111111111113
claude,"Знаємо,_що_росіяни_seg001",24,23,22,0.9166666666666666,0.9565217391304348,0.9361702127659574
claude,"Знаємо,_що_росіяни_seg002",15,14,13,0.8666666666666667,0.9285714285714286,0.896551724137931
claude,Командна_ланка_seg001,23,23,23,1.0,1.0,1.0
claude,Наша_стратегія_seg001,23,23,17,0.7391304347826086,0.7391304347826086,0.7391304347826085
claude,Наша_стратегія_seg002,11,13,9,0.8181818181818182,0.6923076923076923,0.7500000000000001
claude,Отримуємо_хороші_seg001,24,24,18,0.75,0.75,0.75
claude,Поведінка_seg001,12,12,12,1.0,1.0,1.0
claude,Поведінка_seg002,9,9,7,0.7777777777777778,0.7777777777777778,0.7777777777777778
gemini,В_Еміратах_сьогодні_seg001,26,27,23,0.8846153846153846,0.8518518518518519,0.8679245283018868
gemini,В_Еміратах_сьогодні_seg002,12,12,12,1.0,1.0,1.0
gemini,Діалог_з_Америкою_seg001,15,16,13,0.8666666666666667,0.8125,0.8387096774193549
gemini,Діалог_з_Америкою_seg002,18,17,11,0.6111111111111112,0.6470588235294118,0.6285714285714287
gemini,"Знаємо,_що_росіяни_seg001",22,23,21,0.9545454545454546,0.9130434782608695,0.9333333333333332
gemini,"Знаємо,_що_росіяни_seg002",15,14,13,0.8666666666666667,0.9285714285714286,0.896551724137931
gemini,Командна_ланка_seg001,22,23,21,0.9545454545454546,0.9130434782608695,0.9333333333333332
gemini,Наша_стратегія_seg001,22,23,16,0.7272727272727273,0.6956521739130435,0.711111111111111
gemini,Наша_стратегія_seg002,12,13,10,0.8333333333333334,0.7692307692307693,0.8
gemini,Отримуємо_хороші_seg001,24,24,19,0.7916666666666666,0.7916666666666666,0.7916666666666666
gemini,Поведінка_seg001,13,12,12,0.9230769230769231,1.0,0.9600000000000001
gemini,Поведінка_seg002,9,9,7,0.7777777777777778,0.7777777777777778,0.7777777777777778
llm_mt,В_Еміратах_сьогодні_seg001,26,27,24,0.9230769230769231,0.8888888888888888,0.9056603773584906
llm_mt,В_Еміратах_сьогодні_seg002,13,12,10,0.7692307692307693,0.8333333333333334,0.8
llm_mt,Діалог_з_Америкою_seg001,15,16,14,0.9333333333333333,0.875,0.9032258064516129
llm_mt,Діалог_з_Америкою_seg002,17,17,12,0.7058823529411765,0.7058823529411765,0.7058823529411765
llm_mt,"Знаємо,_що_росіяни_seg001",21,23,20,0.9523809523809523,0.8695652173913043,0.909090909090909
llm_mt,"Знаємо,_що_росіяни_seg002",15,14,13,0.8666666666666667,0.9285714285714286,0.896551724137931
llm_mt,Командна_ланка_seg001,22,23,22,1.0,0.9565217391304348,0.9777777777777777
llm_mt,Наша_стратегія_seg001,22,23,17,0.7727272727272727,0.7391304347826086,0.7555555555555555
llm_mt,Наша_стратегія_seg002,14,13,11,0.7857142857142857,0.8461538461538461,0.8148148148148148
llm_mt,Отримуємо_хороші_seg001,22,24,19,0.8636363636363636,0.7916666666666666,0.8260869565217391
llm_mt,Поведінка_seg001,12,12,12,1.0,1.0,1.0
llm_mt,Поведінка_seg002,8,9,7,0.875,0.7777777777777778,0.823529411764706
