variant,segment,bleu,bert_f1,meteor
phonetic,Командна_ланка_seg001,20.34802215681429,0.4135590195655823,0.43734692470225617
phonetic,Наша_стратегія_seg001,18.588209534881987,0.3072427809238434,0.3957301902807419
phonetic,Наша_стратегія_seg002,24.013100918522603,0.4327413737773895,0.43736105972894435
phonetic,Отримуємо_хороші_seg001,19.37830936688497,0.3809918463230133,0.43212640517134665
phonetic,Поведінка_seg001,21.94907391553345,0.4034264385700226,0.4544530539424321
phonetic,Поведінка_seg002,21.419351936613985,0.4155769944190979,0.4668633931594908
llm_corr,В_Еміратах_сьогодні_seg001,13.87879113365293,0.2737026512622833,0.36530505036309585
llm_corr,В_Еміратах_сьогодні_seg002,17.81596383239493,0.32244500517845154,0.39831948449789156
llm_corr,Діалог_з_Америкою_seg001,26.795890400430622,0.3414701819419861,0.5118473529690813
llm_corr,Діалог_з_Америкою_seg002,11.868068024633068,0.2545040547847748,0.37929589469198355
llm_corr,"Знаємо,_що_росіяни_seg001",16.797386490250297,0.2665998339653015,0.43410401929204984
llm_corr,"Знаємо,_що_росіяни_seg002",19.776551241471388,0.2973846197128296,0.39286313842947035
llm_corr,Командна_ланка_seg001,19.70371871099956,0.39013200998306274,0.4376440280140016
llm_corr,Наша_стратегія_seg001,18.321336759884918,0.30620378255844116,0.3973876674457727
llm_corr,Наша_стратегія_seg002,24.45089156683222,0.44078391790390015,0.437256602824304
llm_corr,Отримуємо_хороші_seg001,21.596232202205407,0.37142184376716614,0.46288866173040155
llm_corr,Поведінка_seg001,21.28713934282954,0.39740151166915894,0.46048632010622603
llm_corr,Поведінка_seg002,21.832054718029884,0.41232189536094666,0.46687462663799734
placeholder,В_Еміратах_сьогодні_seg001,18.278009898051682,0.32154902815818787,0.4107577341050055
placeholder,В_Еміратах_сьогодні_seg002,16.448721272577174,0.31940850615501404,0.39185957037413227
placeholder,Діалог_з_Америкою_seg001,26.953920435155528,0.4117225706577301,0.4967767182479402
placeholder,Діалог_з_Америкою_seg002,10.994132101199568,0.2437516748905182,0.3404016498466108
placeholder,"Знаємо,_що_росіяни_seg001",13.945965176497443,0.2406989485025406,0.37642002034625205
placeholder,"Знаємо,_що_росіяни_seg002",20.085009248632296,0.30306169390678406,0.40236671370344873
placeholder,Командна_ланка_seg001,23.29087135917494,0.36023756861686707,0.43424927671656177
placeholder,Наша_стратегія_seg001,18.38709982313822,0.33522167801856995,0.3990258674542898
placeholder,Наша_стратегія_seg002,23.835042559691065,0.42874038219451904,0.4321324056378404
placeholder,Отримуємо_хороші_seg001,20.075369189786365,0.364314466714859,0.41153512419649985
placeholder,Поведінка_seg001,21.690008252083107,0.40465402603149414,0.4524613181144364
placeholder,Поведінка_seg002,21.419351936613985,0.4155769944190979,0.4668633931594908
placeholder_ext,В_Еміратах_сьогодні_seg001,18.057244150658594,0.31643736362457275,0.42285647017168676
placeholder_ext,В_Еміратах_сьогодні_seg002,18.21017422012891,0.3543683588504791,0.4159570352824985
placeholder_ext,Діалог_з_Америкою_seg001,20.427661178407188,0.3110562264919281,0.39272363937964677
placeholder_ext,Діалог_з_Америкою_seg002,15.018552522565967,0.3101567327976227,0.3872883509839245
placeholder_ext,"Знаємо,_що_росіяни_seg001",20.62476752771371,0.31026798486709595,0.39260116103244974
placeholder_ext,"Знаємо,_що_росіяни_seg002",21.963665116953862,0.38579094409942627,0.42274791723396893
placeholder_ext,Командна_ланка_seg001,21.512936077266673,0.2597018778324127,0.41451636553176047
placeholder_ext,Наша_стратегія_seg001,21.332116293229465,0.3387497663497925,0.41328697915939716
placeholder_ext,Наша_стратегія_seg002,22.689408139743986,0.4374433755874634,0.4111325766723013
placeholder_ext,Отримуємо_хороші_seg001,19.342211861802493,0.3150070607662201,0.45376842866731876
placeholder_ext,Поведінка_seg001,22.097561051345988,0.39898189902305603,0.45776065101639035
placeholder_ext,Поведінка_seg002,22.656239971719202,0.4570713937282562,0.4896655614043533
claude_haiku,В_Еміратах_сьогодні_seg001,53.78063364385771,0.6936175227165222,0.7036975241228366
claude_haiku,В_Еміратах_сьогодні_seg002,48.82753771322363,0.6967306137084961,0.6492349588635704
claude_haiku,Діалог_з_Америкою_seg001,61.1717422322165,0.766169011592865,0.8229073046330833
claude_haiku,Діалог_з_Америкою_seg002,53.16379634656066,0.7274550199508667,0.7824355083459789
claude_haiku,"Знаємо,_що_росіяни_seg001",51.88252005061207,0.680475652217865,0.6707981061450182
claude_haiku,"Знаємо,_що_росіяни_seg002",56.83053850145286,0.7260374426841736,0.6894358999820804
claude_haiku,Командна_ланка_seg001,58.44794321353373,0.7124756574630737,0.7737486374961345
claude_haiku,Наша_стратегія_seg001,48.69020257624126,0.6853390336036682,0.6627243309107996
claude_haiku,Наша_стратегія_seg002,59.055764381372725,0.7516466379165649,0.7570505958758738
claude_haiku,Отримуємо_хороші_seg001,57.36196247488702,0.7421303391456604,0.6964058761428783
claude_haiku,Поведінка_seg001,58.117225384035486,0.7268151044845581,0.718762713667645
claude_haiku,Поведінка_seg002,55.72534069530878,0.7842826843261719,0.7376231242512234
claude,В_Еміратах_сьогодні_seg001,53.42416124860362,0.6883766055107117,0.7663282876695936
claude,В_Еміратах_сьогодні_seg002,44.25079470723462,0.6686461567878723,0.6817248058461992
claude,Діалог_з_Америкою_seg001,63.89335320576268,0.7636777758598328,0.8251549105911267
claude,Діалог_з_Америкою_seg002,50.73087933286,0.7220198512077332,0.7406666209469399
claude,"Знаємо,_що_росіяни_seg001",51.582477641947854,0.6939791440963745,0.6832978506479265
claude,"Знаємо,_що_росіяни_seg002",53.08836696040602,0.640923261642456,0.692468114830421
claude,Командна_ланка_seg001,62.38963566077293,0.7098640203475952,0.7515912095297592
claude,Наша_стратегія_seg001,55.17151798897784,0.6664692759513855,0.7290017517389114
claude,Наша_стратегія_seg002,64.52772975636427,0.7749263644218445,0.7776090582388722
claude,Отримуємо_хороші_seg001,55.352875838623575,0.7631345987319946,0.6927176890079828
claude,Поведінка_seg001,53.43766037950369,0.6666702032089233,0.6599272350451212
claude,Поведінка_seg002,57.669505612663286,0.7603619694709778,0.7602376004779281
gemini,В_Еміратах_сьогодні_seg001,54.229042100020564,0.7279155254364014,0.7580990093118148
gemini,В_Еміратах_сьогодні_seg002,57.773589939008815,0.7551277279853821,0.7724596456822936
gemini,Діалог_з_Америкою_seg001,62.930388976208896,0.775352954864502,0.830212575365549
gemini,Діалог_з_Америкою_seg002,52.32005976529725,0.7021382451057434,0.7566062557570704
gemini,"Знаємо,_що_росіяни_seg001",56.667534257205745,0.7544828653335571,0.7443746699012613
gemini,"Знаємо,_що_росіяни_seg002",57.43617990786462,0.7092311382293701,0.6966567289659186
gemini,Командна_ланка_seg001,58.33675015263226,0.7215844392776489,0.7315873114519282
gemini,Наша_стратегія_seg001,58.19393932101063,0.6965144872665405,0.7762174303907875
gemini,Наша_стратегія_seg002,62.66089364773958,0.7855830192565918,0.7732874250803842
gemini,Отримуємо_хороші_seg001,55.85663585919776,0.7727010846138,0.709204343433538
gemini,Поведінка_seg001,52.29767633884707,0.6935775876045227,0.6690673347397772
gemini,Поведінка_seg002,54.35752938524466,0.7717108130455017,0.7414271029697665
llm_mt,В_Еміратах_сьогодні_seg001,50.86997373550285,0.7045726180076599,0.700670887122251
llm_mt,В_Еміратах_сьогодні_seg002,46.27329569133424,0.7016551494598389,0.6835781382416257
llm_mt,Діалог_з_Америкою_seg001,65.13165577420854,0.753792405128479,0.8324937011803363
llm_mt,Діалог_з_Америкою_seg002,56.75197843389723,0.7419357299804688,0.7923545454545454
llm_mt,"Знаємо,_що_росіяни_seg001",57.08778666643838,0.6732414960861206,0.7210515641912133
llm_mt,"Знаємо,_що_росіяни_seg002",55.26652062041949,0.6329068541526794,0.7109079468379995
llm_mt,Командна_ланка_seg001,60.149175155859716,0.706535816192627,0.7568797627641868
llm_mt,Наша_стратегія_seg001,61.87040930418049,0.7585742473602295,0.7752423069821723
llm_mt,Наша_стратегія_seg002,62.47225837000917,0.7931007742881775,0.8023222595397754
llm_mt,Отримуємо_хороші_seg001,57.18912209365368,0.7256411910057068,0.7330091076630038
llm_mt,Поведінка_seg001,52.952975806593486,0.709218442440033,0.6804796885791425
llm_mt,Поведінка_seg002,57.97223262989256,0.7944880127906799,0.7571024975908789
